phil_id,name,era,summary
10,Empedocles,Greek,"""Empedocles (; Greek: Ἐμπεδοκλῆς [empedoklɛ̂ːs], Empedoklēs; c. 490 – c. 430 BC) was a Greek pre-Socratic philosopher and a citizen of Acragas (Agrigentum), a Greek city in Sicily. Empedocles' philosophy is best known for originating the cosmogenic theory of the four classical elements. He also proposed forces he called Love and Strife which would mix as well as separate the elements. These physical speculations were part of a history of the universe which also dealt with the origin and development of life.
Influenced by the Pythagoreans, Empedocles was a vegetarian who supported the doctrine of reincarnation. He is generally considered the last Greek philosopher to have recorded his ideas in verse. Some of his work survives, more than is the case for any other pre-Socratic philosopher. Empedocles' death was mythologized by ancient writers, and has been the subject of a number of literary treatments."""
11,Zeno of Elea,Greek,"""Zeno of Elea (; Greek: Ζήνων ὁ Ἐλεάτης; c. 490 – c. 430 BC) was a pre-Socratic Greek philosopher of Magna Graecia and a member of the Eleatic School founded by Parmenides. Aristotle called him the inventor of the dialectic. He is best known for his paradoxes, which Bertrand Russell has described as 'immeasurably subtle and profound.'

"""
12,Protagoras,Greek,"""Protagoras (; Greek: Πρωταγόρας; c. 490 – c. 420 BC) was a pre-Socratic Greek philosopher and is numbered as one of the sophists by Plato. In his dialogue, Protagoras, Plato credits him with having invented the role of the professional sophist.
He also is believed to have created a major controversy during ancient times through his statement that, 'Man is the measure of all things', interpreted by Plato to mean that there is no absolute truth, but that which individuals deem to be the truth. Although there is reason to question the extent of the interpretation of his arguments that has followed, that concept of individual relativity was revolutionary for the time, and contrasted with other philosophical doctrines that claimed the universe was based on something objective, outside of human influence or perceptions."""
13,Sophistic works of Antiphon,Greek,"""The name Antiphon the Sophist (; Greek: Ἀντιφῶν) is used to refer to the writer of several Sophistic treatises. He probably lived in Athens in the last two decades of the 5th century BC, but almost nothing is known of his life.
It has been debated since antiquity whether the writer of these Sophistic treatises was in fact none other than Antiphon the Orator, or whether Antiphon the Sophist was indeed a separate person. This remains an active scholarly controversy; of recent editors, Gagarin, and Laks and Most, believe there to be only one Antiphon, whereas G.J. Pendrick argues for the existence of two separate individuals.
The most important of these treatises was On Truth, whose surviving fragments cover many different subjects, from astronomy and mathematics to morality and ethics. Fragments have also been preserved of the treatises On Concord and Politicus; these fragments have sometimes been attributed to the Orator rather than to the Sophist.
It is also not known for certain whether the treatise on the Interpretation of Dreams under the name of Antiphon was written by Antiphon the Sophist, or whether this was written by yet another different Antiphon. The editions of Pendrick and of Laks and Most proceed on the basis that this treatise was written by the same Antiphon as the Sophistic works."""
14,Hippias,Greek,"""Hippias of Elis (; Greek: Ἱππίας ὁ Ἠλεῖος; late 5th century BC) was a Greek sophist, and a contemporary of Socrates. With an assurance characteristic of the later sophists, he claimed to be regarded as an authority on all subjects, and lectured on poetry, grammar, history, politics, mathematics, and much else. Most of our knowledge of him is derived from Plato, who characterizes him as vain and arrogant.

"""
15,Gorgias,Greek,"""Gorgias (; Greek: Γοργίας Ancient Greek: [ɡorɡíaːs]; c. 485 – c. 380 BC) was a Greek sophist, Siceliote, pre-Socratic philosopher and rhetorician who was a native of Leontini in Sicily. Along with Protagoras, he forms the first generation of Sophists. Several doxographers report that he was a pupil of Empedocles, although he would only have been a few years younger. 'Like other Sophists he was an itinerant, practicing in various cities and giving public exhibitions of his skill at the great pan-Hellenic centers of Olympia and Delphi, and charged fees for his instruction and performances. A special feature of his displays was to invite miscellaneous questions from the audience and give impromptu replies.' He has been called 'Gorgias the Nihilist' although the degree to which this epithet adequately describes his philosophy is controversial.
His chief claim to recognition is that he transplanted rhetoric from his native Sicily to Attica, and contributed to the diffusion of the Attic dialect as the language of literary prose."""
16,Socrates,Greek,"""Socrates (; Greek: Σωκράτης [sɔːkrátɛːs], Sōkrátēs; 470/469 – 399 BC) was a classical Greek (Athenian) philosopher credited as one of the founders of Western philosophy. He is an enigmatic figure known chiefly through the accounts of classical writers, especially the writings of his students Plato and Xenophon and the plays of his contemporary Aristophanes. Plato's dialogues are among the most comprehensive accounts of Socrates to survive from antiquity, though it is unclear the degree to which Socrates himself is 'hidden behind his 'best disciple', Plato'.
Through his portrayal in Plato's dialogues, Socrates has become renowned for his contribution to the field of ethics, and it is this Platonic Socrates who lends his name to the concepts of Socratic irony and the Socratic method, or elenchus. The latter remains a commonly used tool in a wide range of discussions, and is a type of pedagogy in which a series of questions is asked not only to draw individual answers, but also to encourage fundamental insight into the issue at hand. Plato's Socrates also made important and lasting contributions to the field of epistemology, and his ideologies and approach have proven a strong foundation for much Western philosophy that has followed."""
17,Critias,Greek,"""Critias (; Greek: Κριτίας, Kritias; c. 460 – 403 BCE) was an ancient Athenian political figure and author. Born in Athens, Critias was the son of Callaeschrus and a first cousin of Plato's mother Perictione. He became a leading and violent member of the Thirty Tyrants. He also was an associate of Socrates, a fact that did not endear Socrates to the Athenian public.
Critias was noted in his day for his tragedies, elegies and prose works. Some, like Sextus Empiricus, believe that Critias wrote the Sisyphus fragment; others, however, attribute it to Euripides. His only known play is Peirithous, of which only a single 42-line fragment survives (Sextus Empir. p. 403, 1). In addition, eight shorter quotations from unidentified plays have come down to us.

"""
18,Prodicus,Greek,"""Prodicus of Ceos (; Greek: Πρόδικος ὁ Κεῖος, Pródikos ho Keios; c. 465 BC – c. 395 BC) was a Greek philosopher, and part of the first generation of Sophists. He came to Athens as ambassador from Ceos, and became known as a speaker and a teacher. Plato treats him with greater respect than the other sophists, and in several of the Platonic dialogues Socrates appears as the friend of Prodicus. One writer claims Socrates used his method of instruction. Prodicus made linguistics and ethics prominent in his curriculum. The content of one of his speeches is still known, and concerns a fable in which Heracles has to make a choice between Virtue and Vice. He also interpreted religion through the framework of naturalism."""
19,Leucippus,Greek,"""Leucippus (; Greek: Λεύκιππος, Leúkippos; fl. 5th cent. BCE) is reported in some ancient sources to have been a philosopher who was the earliest Greek to develop the theory of atomism—the idea that everything is composed entirely of various imperishable, indivisible elements called atoms. Leucippus often appears as the master to his pupil Democritus, a philosopher also touted as the originator of the atomic theory. However, a brief notice in Diogenes Laertius’s life of Epicurus says that on the testimony of Epicurus, Leucippus never existed. As the philosophical heir of Democritus, Epicurus's word has some weight, and indeed a controversy over this matter raged in German scholarship for many years at the close of the 19th century. Furthermore, in his Corpus Democriteum, Thrasyllus of Alexandria, an astrologer and writer living under the emperor Tiberius (14–37 CE), compiled a list of writings on atomism that he attributed to Democritus to the exclusion of Leucippus. The present consensus among the world's historians of philosophy is that this Leucippus is historical. The matter must remain moot unless more information is forthcoming from the record.
Leucippus was most likely born in Miletus, although Abdera and Elea are also mentioned as possible birthplaces."""
20,Thrasymachus,Greek,"""Thrasymachus (; Greek: Θρασύμαχος Thrasýmachos; c. 459 – c. 400 BC) was a sophist of Ancient Greece best known as a character in Plato's Republic."""
21,Democritus,Greek,"""Democritus (; Greek: Δημόκριτος, Dēmókritos, meaning 'chosen of the people'; c. 460 – c. 370 BC) was an influential Ancient Greek pre-Socratic philosopher primarily remembered today for his formulation of an atomic theory of the universe.
Democritus was born in Abdera, Thrace, around 460 BC, although, some thought it was 490 BC. His exact contributions are difficult to disentangle from those of his mentor Leucippus, as they are often mentioned together in texts. Their speculation on atoms, taken from Leucippus, bears a passing and partial resemblance to the 19th-century understanding of atomic structure that has led some to regard Democritus as more of a scientist than other Greek philosophers; however, their ideas rested on very different bases. Largely ignored in ancient Athens, Democritus is said to have been disliked so much by Plato that the latter wished all of his books burned. He was nevertheless well known to his fellow northern-born philosopher Aristotle. Many consider Democritus to be the 'father of modern science'. None of his writings have survived; only fragments are known from his vast body of work."""
22,Diagoras of Melos,Greek,"""Diagoras 'the Atheist' of Melos (Greek: Διαγόρας ὁ Μήλιος) was a Greek poet and sophist of the 5th century BC. Throughout Antiquity he was regarded as an atheist. With the exception of this one point, there is little information concerning his life and beliefs. He spoke out against the Greek religion, and criticized the Eleusinian Mysteries. The Athenians accused him of impiety, and he was forced to flee the city. He died in Corinth."""
23,Antisthenes,Greek,"""Antisthenes (; Greek: Ἀντισθένης; c. 445 – c. 365 BC) was a Greek philosopher and a pupil of Socrates. Antisthenes first learned rhetoric under Gorgias before becoming an ardent disciple of Socrates. He adopted and developed the ethical side of Socrates' teachings, advocating an ascetic life lived in accordance with virtue. Later writers regarded him as the founder of Cynic philosophy."""
24,Aristippus,Greek,"""Aristippus of Cyrene (; Greek: Ἀρίστιππος ὁ Κυρηναῖος; c. 435 – c. 356 BCE) was the founder of the Cyrenaic school of Philosophy. He was a pupil of Socrates, but adopted a very different philosophical outlook, teaching that the goal of life was to seek pleasure by adapting circumstances to oneself and by maintaining proper control over both adversity and prosperity. Among his pupils was his daughter Arete.
There are indications that he was conflated with his grandson, Aristippus the Younger."""
25,Alcidamas,Greek,"""Alcidamas (Greek: Ἀλκιδάμας), of Elaea, in Aeolis, Greek sophist and rhetorician, flourished in the 4th century BC."""
26,Lycophron (sophist),Greek,"""Lycophron (; Greek: Λυκόφρων) was a sophist of Ancient Greece.
The central point about Lycrophron as attacked in 'The Politics' of Aristotle, is that Lycrophron rejected the idea that the state exists to make people 'just and good', instead holding the view that justice and law is about preventing people violating the bodies and goods of each other. This is the only reference to Lycrophron in 'The Politics'.
The details of his life remain obscure, other than a number of references in the works of Aristotle. Lycophron was probably among the students of Gorgias, and is mentioned as a sophist by Aristotle. He rejected the supposed value of an aristocratic birth, claiming that

Now the nobility of good birth is obscure, and its grandeur a matter of words.

Meaning that there is no factual difference between those well-born and those low-born; Only words and opinion assign value to these different circumstances of birth. This statement may indicate that Lycophron shared the beliefs of Antiphon, that (regardless of their ancestry) both Greeks and barbarians are born with the same capacities: An egalitarian belief that was a minority view in the 5th century BC.(this view of Lycophron has nothing to do with egalitarian ideas concerning income or wealth). He is also known for his statement (reproduced by Aristotle, in the latter's Politics, 1280b10), that 'law is only a convention, a surety to another of justice'. Also translated as 'a guarantor of men's rights against one another'. He thus believed that law is a matter of agreement, a social convention and not a natural or universal standard (there is no evidence that Lycophron rejected the idea that law is a universal standard - indeed his view appears far more universalist than that of Aristotle, in that Lycophron proposes a single standard, what would now be called the non aggression principle, in relation to all states). In this respect his views on law are similar to those of Protagoras. This means that he treats law as a mere means, in the context of a (perhaps primitive) social contract theory, without considering it as something special, in contradistinction to, e.g., Plato but similar to both Thrasymachus and Callicles, albeit that their theories have – as far as can be ascertained from the information available about them – more specific characteristics.
While Lycophron is considered one of the first proponents of a social contract theory, this is mostly a conjecture based on his theory of law. His few surviving quotes do not include a theory on the emergence of society from agreements. Such ideas did exist, however, in the works of his contemporary Protagoras. These 5th-century BC ideas viewed society and morality as human creations, both aiming to protect the lives and safety of the community members. The laws were subject to change, reflecting the changing views of a society. There was no 'unchanging standard of righteousness'. In other words, Protagoras and like-minded thinkers were precursors of Utilitarianism.
In Metaphysics, Lycophron is quotted as claiming that 'knowledge is a communion of knowledge and of soul'. And also that the communion is the cause of the unity of knowledge and the soul. In Physics, it is mentioned that when Lycophron discussed 'whether the part and the whole are one or more than one' he avoided using the singular form of the verb 'to be'. In Rhetoric, Aristotle examines several peculiar expressions used by Lycophron, such as 'the many-visaged sky of the mighty-peaked earth', 'the narrow-passaged promontory', calling Xerxes 'a monster of a man' and Sciron 'a human destroyer'. The same work includes another reference to a Lycophron, though it fits poorly with what is known of the sophist. Aristotle reports that an opponent of Lycophron and Peitholaus stated in a law-court that 'These men used to sell you when they are at home, and now they have come here and bought you.' There is no context given to this phrase, though modern scholars suspect this is a reference to a case involving Lycophron I of Pherae, a tyrant.
In Sophistical Refutations, Aristotle mentions Lycophron as an example of changing the subject of a conversation when one has nothing to state on the original subject. He reports that once Lycophron was compelled by certain persons to speak in praise of the lyre. He reportedly found himself at a loss for words on this subject. So he offered a few words on the musical organ and then switched the topic to Lyra, the constellation named after it. Being more knowledgeable in this topic, he had much more to say."""
27,Diogenes of Apollonia,Greek,"""Diogenes of Apollonia (; Greek: Διογένης ὁ Ἀπολλωνιάτης; fl. 5th century BC) was an ancient Greek philosopher, and was a native of the Milesian colony Apollonia in Thrace. He lived for some time in Athens. His doctrines are known chiefly from Diogenes Laërtius and Simplicius. He believed air to be the one source of all being, and, as a primal force, to be intelligent. All other substances are derived from it by condensation and rarefaction. Aristotle has preserved a long passage by Diogenes concerning the organization of the blood vessels."""
28,Hippo (philosopher),Greek,"""Hippo (; Greek: Ἵππων, Hippon; fl. 5th century BC) was a Pre-Socratic Greek philosopher. He is variously described as coming from Rhegium, Metapontum, Samos, and Croton, and it is possible that there was more than one philosopher with this name."""
29,Xenophon,Greek,"""Xenophon of Athens (; Greek: Ξενοφῶν Greek pronunciation: [ksenopʰɔ̂ːn], Xenophōn; c. 430–354 BC) was an ancient Greek philosopher, historian, soldier and mercenary, and a student of Socrates. As a historian, Xenophon is known for recording the history of his contemporary time, the late-5th and early-4th centuries BC, such as the Hellenica, about the final seven years and the aftermath of the Peloponnesian War (431–404 BC); as such, the Hellenica is a thematic continuation of Thucydides' History of the Peloponnesian War. As a mercenary soldier of the Ten Thousand, he participated in the failed campaign of Cyrus the Younger, to claim the Persian throne from his brother Artaxerxes II of Persia, and recounts the events in Anabasis, his most notable history.
Despite being an Athenian citizen, born to Gryllus, of the deme Erchia of Athens, Xenophon was also associated with the city-state of Sparta, the traditional enemy of Athens. As such, his pro-oligarchic politics, military service under Spartan generals, in the Persian campaign and elsewhere, and his friendship with King Agesilaus II endeared Xenophon to the Spartans; thus, some of his works have an admiring pro–Spartan bias, especially the royal biography Agesilaus and the Constitution of the Spartans.
Along with Plato (427–347 BC), Xenophon of Athens is an authority on Socrates, about whom he wrote the dialogue Apology of Socrates to the Jury, which recounts the Trial of Socrates (399 BC). The works of Xenophon are in several genres, and are written in plain-language Attic Greek, for which reason they serve as translation exercises for contemporary students of the Ancient Greek language. In the Lives and Opinions of Eminent Philosophers, Diogenes Laërtius said that, as a writer, Xenophon of Athens was known as the “Attic Muse”, for the sweetness of his diction (2.6)."""
30,Plato,Greek,"""Plato (; Greek: Πλάτων Plátōn, pronounced [plá.tɔːn] in Classical Attic; 428/427 or 424/423 – 348/347 BC) was a philosopher in Classical Greece and the founder of the Academy in Athens, the first institution of higher learning in the Western world. He is widely considered the most pivotal figure in the development of philosophy, especially the Western tradition. Unlike nearly all of his philosophical contemporaries, Plato's entire work is believed to have survived intact for over 2,400 years. Others believe that the oldest extant manuscript dates to around AD 895, 1100 years after Plato's death. This makes it difficult to know exactly what Plato wrote.
Along with his teacher, Socrates, and his most famous student, Aristotle, Plato laid the very foundations of Western philosophy and science. Alfred North Whitehead once noted: 'the safest general characterization of the European philosophical tradition is that it consists of a series of footnotes to Plato.' In addition to being a foundational figure for Western science, philosophy, and mathematics, Plato has also often been cited as one of the founders of Western religion and spirituality. Plato's influence on Christianity is often thought to be mediated by his major influence on Saint Augustine of Hippo, one of the most important philosophers and theologians in the foundation of the Western thought. In the 19th century, the philosopher Nietzsche called Christianity 'Platonism for the people'. Numenius of Apamea viewed this differently, he called Plato the Hellenic Moses. This would justify the superiority of Christianity over Hellenism because Moses predates Plato—thus the original source of this wisdom is the root of Christianity and not Hellenistic culture.
Plato was the innovator of the written dialogue and dialectic forms in philosophy. Plato appears to have been the founder of Western political philosophy, with his Republic, and Laws among other dialogues, providing some of the earliest extant treatments of political questions from a philosophical perspective. Plato's own most decisive philosophical influences are usually thought to have been Socrates, Parmenides, Heraclitus and Pythagoras, although few of his predecessors' works remain extant and much of what we know about these figures today derives from Plato himself.
The Stanford Encyclopedia of Philosophy describes Plato as '...one of the most dazzling writers in the Western literary tradition and one of the most penetrating, wide-ranging, and influential authors in the history of philosophy. ... He was not the first thinker or writer to whom the word “philosopher” should be applied. But he was so self-conscious about how philosophy should be conceived, and what its scope and ambitions properly are, and he so transformed the intellectual currents with which he grappled, that the subject of philosophy, as it is often conceived—a rigorous and systematic examination of ethical, political, metaphysical, and epistemological issues, armed with a distinctive method—can be called his invention. Few other authors in the history of Western philosophy approximate him in depth and range: perhaps only Aristotle (who studied with him), Aquinas and Kant would be generally agreed to be of the same rank.'"""
31,Speusippus,Greek,"""Speusippus (; Greek: Σπεύσιππος; c. 408 – 339/8 BC) was an ancient Greek philosopher. Speusippus was Plato's nephew by his sister Potone. After Plato's death, Speusippus inherited the Academy and remained its head for the next eight years. However, following a stroke, he passed the chair to Xenocrates. Although the successor to Plato in the Academy, he frequently diverged from Plato's teachings. He rejected Plato's Theory of Forms, and whereas Plato had identified the Good with the ultimate principle, Speusippus maintained that the Good was merely secondary. He also argued that it is impossible to have satisfactory knowledge of any thing without knowing all the differences by which it is separated from everything else.
The standard edition of the surviving fragments and testimonies is Leonardo Tarán's Speusippus of Athens: A Critical Study with a Collection of the Related Texts and Commentary (1982).

"""
32,Eudoxus of Cnidus,Greek,"""Eudoxus of Cnidus (; Greek: Εὔδοξος ὁ Κνίδιος, Eúdoxos ho Knídios; c. 390– c. 337 BC) was a Greek astronomer, mathematician, scholar and student of Plato. All of his works are lost, though some fragments are preserved in Hipparchus' commentary on Aratus's poem on astronomy. Theodosius of Bithynia's important work, Sphaerics, may be based on a work of Eudoxus."""
33,Diogenes,Greek,"""Diogenes (; Greek: Διογένης, Diogenēs [di.oɡénɛ͜ɛs]) was a Greek philosopher and one of the founders of Cynic philosophy. Also known as Diogenes the Cynic (Ancient Greek: Διογένης ὁ Κυνικός, Diogenēs ho Kunikos), he was born in Sinope (modern-day Sinop, Turkey), an Ionian colony on the Black Sea, in 412 or 404 B.C. and died at Corinth in 323 B.C.
Diogenes was a controversial figure. His father minted coins for a living, and when Diogenes took to debasement of currency, he was banished from Sinope. After being exiled, he moved to Athens and criticized many cultural conventions of the city. Diogenes modelled himself on the example of Heracles. He believed that virtue was better revealed in action than in theory. He used his simple life-style and behaviour to criticize the social values and institutions of what he saw as a corrupt or at least confused society. In a highly nontraditional fashion, he had a reputation of sleeping and eating wherever he chose and took to toughening himself against nature. He declared himself a cosmopolitan and a citizen of the world rather than claiming allegiance to just one place. There are many tales about him dogging Antisthenes' footsteps and becoming his 'faithful hound'. Diogenes made a virtue of poverty. He begged for a living and often slept in a large ceramic jar in the marketplace. He became notorious for his philosophical stunts such as carrying a lamp during the day, claiming to be looking for an honest man. He criticized and embarrassed Plato, disputed his interpretation of Socrates and sabotaged his lectures, sometimes distracting attendees by bringing food and eating during the discussions. Diogenes was also noted for having publicly mocked Alexander the Great.
After being captured by pirates and sold into slavery, Diogenes eventually settled in Corinth. There he passed his philosophy of Cynicism to Crates, who taught it to Zeno of Citium, who fashioned it into the school of Stoicism, one of the most enduring schools of Greek philosophy. None of Diogenes' many writings have survived, but details of his life come in the form of anecdotes (chreia), especially from Diogenes Laërtius, in his book Lives and Opinions of Eminent Philosophers. All that is available are a number of anecdotes concerning his life and sayings attributed to him in a number of scattered classical sources."""
34,Xenocrates,Greek,"""Xenocrates (; Greek: Ξενοκράτης; c. 396/5 – 314/3 BC) of Chalcedon was a Greek philosopher, mathematician, and leader (scholarch) of the Platonic Academy from 339/8 to 314/3 BC. His teachings followed those of Plato, which he attempted to define more closely, often with mathematical elements. He distinguished three forms of being, the sensible, the intelligible, and a third compounded of the two, to which correspond respectively, sense, intellect and opinion. Unity and duality he considered to be gods which rule the universe, and the soul is a self-moving number. God pervades all things, and there are daemonical powers, intermediate between the divine and the mortal, which consist in conditions of the soul. He held that mathematical objects and the Platonic Ideas are identical, unlike Plato who distinguished them. In ethics, he taught that virtue produces happiness, but that external goods can minister to it and enable it to effect its purpose."""
