phil1id,source,phil2id,target
16,Socrates,24,Aristippus,
24,Aristippus,16,Socrates,
16,Socrates,30,Plato,
8,Parmenides,30,Plato,
4,Pythagoras,30,Plato,
7,Heraclitus,30,Plato,
30,Plato,16,Socrates,
30,Plato,31,Speusippus,
413,Pythagoreanism,31,Speusippus,
31,Speusippus,30,Plato,
23,Antisthenes,33,Diogenes,
16,Socrates,33,Diogenes,
33,Diogenes,23,Antisthenes,
33,Diogenes,16,Socrates,
30,Plato,34,Xenocrates,
31,Speusippus,34,Xenocrates,
413,Pythagoreanism,34,Xenocrates,
34,Xenocrates,30,Plato,
34,Xenocrates,31,Speusippus,
34,Xenocrates,413,Pythagoreanism,
8,Parmenides,35,Aristotle,
16,Socrates,35,Aristotle,
30,Plato,35,Aristotle,
7,Heraclitus,35,Aristotle,
21,Democritus,35,Aristotle,
35,Aristotle,8,Parmenides,
35,Aristotle,16,Socrates,
9,Anaxagoras,36,Archelaus,
36,Archelaus,9,Anaxagoras,
8,Parmenides,37,Melissus of Samos,
35,Aristotle,42,Theophrastus,
30,Plato,42,Theophrastus,
42,Theophrastus,35,Aristotle,
42,Theophrastus,30,Plato,
21,Democritus,43,Pyrrho,
440,Gautama Buddha,43,Pyrrho,
12,Protagoras,43,Pyrrho,
16,Socrates,43,Pyrrho,
43,Pyrrho,21,Democritus,
43,Pyrrho,440,Gautama Buddha,
43,Pyrrho,12,Protagoras,
43,Pyrrho,16,Socrates,
35,Aristotle,44,Strato of Lampsacus,
42,Theophrastus,44,Strato of Lampsacus,
44,Strato of Lampsacus,35,Aristotle,
21,Democritus,45,Epicurus,
43,Pyrrho,45,Epicurus,
45,Epicurus,21,Democritus,
45,Epicurus,43,Pyrrho,
464,Cynicism,46,Zeno of Citium,
16,Socrates,46,Zeno of Citium,
422,Crates of Thebes,46,Zeno of Citium,
465,Diodorus,46,Zeno of Citium,
7,Heraclitus,46,Zeno of Citium,
466,Hipparchia,46,Zeno of Citium,
52,Philo,46,Zeno of Citium,
434,Polemo,46,Zeno of Citium,
467,Stilpo,46,Zeno of Citium,
46,Zeno of Citium,464,Cynicism,
46,Zeno of Citium,16,Socrates,
46,Zeno of Citium,422,Crates of Thebes,
46,Zeno of Citium,465,Diodorus,
46,Zeno of Citium,7,Heraclitus,
46,Zeno of Citium,466,Hipparchia,
46,Zeno of Citium,52,Philo,
46,Zeno of Citium,434,Polemo,
46,Zeno of Citium,48,Chrysippus of Soli,
468,Cleanthes,48,Chrysippus of Soli,
473,Diodorus Cronus,48,Chrysippus of Soli,
52,Philo,48,Chrysippus of Soli,
35,Aristotle,48,Chrysippus of Soli,
30,Plato,48,Chrysippus of Soli,
48,Chrysippus of Soli,46,Zeno of Citium,
30,Plato,49,Carneades,
441,Arcesilaus,49,Carneades,
475,Diogenes of Babylon,49,Carneades,
49,Carneades,30,Plato,
49,Carneades,441,Arcesilaus,
49,Carneades,475,Diogenes of Babylon,
478,Gaius Memmius,50,Titus Lucretius Carus,
45,Epicurus,50,Titus Lucretius Carus,
16,Socrates,50,Titus Lucretius Carus,
30,Plato,50,Titus Lucretius Carus,
35,Aristotle,50,Titus Lucretius Carus,
50,Titus Lucretius Carus,478,Gaius Memmius,
50,Titus Lucretius Carus,45,Epicurus,
50,Titus Lucretius Carus,16,Socrates,
50,Titus Lucretius Carus,30,Plato,
50,Titus Lucretius Carus,35,Aristotle,
482,Platonism,52,Philo,
397,Stoicism,52,Philo,
483,Pythagorism,52,Philo,
484,Hellenistic Judaism,52,Philo,
52,Philo,482,Platonism,
486,Publilius Syrus,53,Lucius Annaeus Seneca,
487,Musonius Rufus,54,Epictetus,
16,Socrates,54,Epictetus,
33,Diogenes,54,Epictetus,
46,Zeno of Citium,54,Epictetus,
468,Cleanthes,54,Epictetus,
469,Chrysippus,54,Epictetus,
488,Hippocrates,54,Epictetus,
54,Epictetus,487,Musonius Rufus,
54,Epictetus,16,Socrates,
54,Epictetus,33,Diogenes,
54,Epictetus,46,Zeno of Citium,
54,Epictetus,468,Cleanthes,
54,Epictetus,469,Chrysippus,
43,Pyrrho,56,Sextus Empiricus,
47,Timon of Phlius,56,Sextus Empiricus,
443,Aenesidemus,56,Sextus Empiricus,
493,Agrippa,56,Sextus Empiricus,
494,Herodotus of Tarsus,56,Sextus Empiricus,
56,Sextus Empiricus,43,Pyrrho,
56,Sextus Empiricus,47,Timon of Phlius,
56,Sextus Empiricus,443,Aenesidemus,
56,Sextus Empiricus,493,Agrippa,
56,Sextus Empiricus,494,Herodotus of Tarsus,
497,Ammonius Saccas,57,Plotinus,
30,Plato,57,Plotinus,
498,Numenius of Apamea,57,Plotinus,
438,Alexander of Aphrodisias,57,Plotinus,
499,and Middle Platonism,57,Plotinus,
413,Pythagoreanism,57,Plotinus,
57,Plotinus,497,Ammonius Saccas,
57,Plotinus,30,Plato,
57,Plotinus,498,Numenius of Apamea,
57,Plotinus,438,Alexander of Aphrodisias,
57,Plotinus,499,and Middle Platonism,
57,Plotinus,413,Pythagoreanism,
57,Plotinus,58,Porphyry of Tyre,
514,Middle Platonism,58,Porphyry of Tyre,
30,Plato,58,Porphyry of Tyre,
35,Aristotle,58,Porphyry of Tyre,
58,Porphyry of Tyre,57,Plotinus,
58,Porphyry of Tyre,514,Middle Platonism,
58,Porphyry of Tyre,30,Plato,
58,Porphyry of Tyre,35,Aristotle,
500,Porphyry,59,Iamblichus,
4,Pythagoras,59,Iamblichus,
518,Neopythagoreanism,59,Iamblichus,
35,Aristotle,59,Iamblichus,
30,Plato,59,Iamblichus,
59,Iamblichus,500,Porphyry,
59,Iamblichus,4,Pythagoras,
520,Ambrose of Milan,60,Augustine of Hippo,
35,Aristotle,60,Augustine of Hippo,
51,Cicero,60,Augustine of Hippo,
415,Lucretius,60,Augustine of Hippo,
521,Gregory of Nazianzus,60,Augustine of Hippo,
30,Plato,60,Augustine of Hippo,
57,Plotinus,60,Augustine of Hippo,
16,Socrates,60,Augustine of Hippo,
479,Virgil,60,Augustine of Hippo,
60,Augustine of Hippo,520,Ambrose of Milan,
60,Augustine of Hippo,35,Aristotle,
60,Augustine of Hippo,51,Cicero,
60,Augustine of Hippo,415,Lucretius,
60,Augustine of Hippo,521,Gregory of Nazianzus,
60,Augustine of Hippo,30,Plato,
60,Augustine of Hippo,57,Plotinus,
60,Augustine of Hippo,16,Socrates,
60,Augustine of Hippo,479,Virgil,
57,Plotinus,61,Proclus Lycaeus,
35,Aristotle,61,Proclus Lycaeus,
30,Plato,61,Proclus Lycaeus,
528,Plutarch,61,Proclus Lycaeus,
529,Syrianus,61,Proclus Lycaeus,
61,Proclus Lycaeus,57,Plotinus,
61,Proclus Lycaeus,35,Aristotle,
61,Proclus Lycaeus,30,Plato,
61,Proclus Lycaeus,528,Plutarch,
61,Proclus Lycaeus,529,Syrianus,
30,Plato,62,Boethius,
35,Aristotle,62,Boethius,
51,Cicero,62,Boethius,
445,Seneca,62,Boethius,
57,Plotinus,62,Boethius,
500,Porphyry,62,Boethius,
533,Saint Augustine,62,Boethius,
504,Proclus,62,Boethius,
62,Boethius,30,Plato,
62,Boethius,35,Aristotle,
62,Boethius,51,Cicero,
62,Boethius,445,Seneca,
62,Boethius,57,Plotinus,
62,Boethius,500,Porphyry,
539,Ancient Greek philosophy,64,al-Kindī,
64,al-Kindī,539,Ancient Greek philosophy,
30,Plato,65,John Scotus Eriugena,
60,Augustine of Hippo,65,John Scotus Eriugena,
545,Cappadocian Fathers,65,John Scotus Eriugena,
508,Pseudo-Dionysius,65,John Scotus Eriugena,
546,Maximus the Confessor,65,John Scotus Eriugena,
62,Boethius,65,John Scotus Eriugena,
65,John Scotus Eriugena,30,Plato,
65,John Scotus Eriugena,60,Augustine of Hippo,
65,John Scotus Eriugena,545,Cappadocian Fathers,
65,John Scotus Eriugena,508,Pseudo-Dionysius,
65,John Scotus Eriugena,546,Maximus the Confessor,
65,John Scotus Eriugena,62,Boethius,
35,Aristotle,66,Al-Faràbi,
30,Plato,66,Al-Faràbi,
500,Porphyry,66,Al-Faràbi,
555,Ptolemy,66,Al-Faràbi,
556,Al-Kindī,66,Al-Faràbi,
66,Al-Faràbi,35,Aristotle,
66,Al-Faràbi,30,Plato,
66,Al-Faràbi,500,Porphyry,
66,Al-Faràbi,555,Ptolemy,
66,Al-Faràbi,556,Al-Kindī,
488,Hippocrates,69,Avicenna,
35,Aristotle,69,Avicenna,
565,Galen ,69,Avicenna,
566,Neoplatonism,69,Avicenna,
64,al-Kindī,69,Avicenna,
567,al-Farabi,69,Avicenna,
568,Rhazes,69,Avicenna,
569,Al-Biruni,69,Avicenna,
570,al-Masihi,69,Avicenna,
571,Abul Hasan Hankari,69,Avicenna,
69,Avicenna,488,Hippocrates,
69,Avicenna,35,Aristotle,
578,Al-Shafi‘i,72,Al-Ghazālī,
579,Al-Juwayni,72,Al-Ghazālī,
580,Abu Talib al-Makki,72,Al-Ghazālī,
581,Harith al-Muhasibi,72,Al-Ghazālī,
582,Junayd of Baghdad,72,Al-Ghazālī,
583,Bayazid Bastami,72,Al-Ghazālī,
72,Al-Ghazālī,578,Al-Shafi‘i,
72,Al-Ghazālī,579,Al-Juwayni,
72,Al-Ghazālī,580,Abu Talib al-Makki,
72,Al-Ghazālī,581,Harith al-Muhasibi,
72,Al-Ghazālī,582,Junayd of Baghdad,
72,Al-Ghazālī,583,Bayazid Bastami,
35,Aristotle,73,Peter Abelard,
500,Porphyry,73,Peter Abelard,
62,Boethius,73,Peter Abelard,
73,Peter Abelard,35,Aristotle,
73,Peter Abelard,500,Porphyry,
35,Aristotle,76,Ibn Rušd Averroes,
599,Prophet Muhammad,76,Ibn Rušd Averroes,
438,Alexander of Aphrodisias,76,Ibn Rušd Averroes,
600,Philoponus,76,Ibn Rušd Averroes,
601,Al-Farabi,76,Ibn Rušd Averroes,
602,Ibn Bājja,76,Ibn Rušd Averroes,
575,Ibn Tufail,76,Ibn Rušd Averroes,
603,Ibn Zuhr,76,Ibn Rušd Averroes,
76,Ibn Rušd Averroes,35,Aristotle,
76,Ibn Rušd Averroes,599,Prophet Muhammad,
76,Ibn Rušd Averroes,438,Alexander of Aphrodisias,
76,Ibn Rušd Averroes,600,Philoponus,
76,Ibn Rušd Averroes,601,Al-Farabi,
76,Ibn Rušd Averroes,602,Ibn Bājja,
606,Talmud,77,Maimonides,
35,Aristotle,77,Maimonides,
567,al-Farabi,77,Maimonides,
69,Avicenna,77,Maimonides,
607,Avempace,77,Maimonides,
563,Averroes,77,Maimonides,
608,Algazel,77,Maimonides,
77,Maimonides,606,Talmud,
77,Maimonides,35,Aristotle,
77,Maimonides,567,al-Farabi,
77,Maimonides,69,Avicenna,
77,Maimonides,607,Avempace,
77,Maimonides,563,Averroes,
77,Maimonides,608,Algazel,
35,Aristotle,80,Albertus Magnus,
69,Avicenna,80,Albertus Magnus,
616,''Liber de causis'' (mostly Proclian),80,Albertus Magnus,
508,Pseudo-Dionysius,80,Albertus Magnus,
601,Al-Farabi,80,Albertus Magnus,
563,Averroes,80,Albertus Magnus,
617,Avicebron,80,Albertus Magnus,
77,Maimonides,80,Albertus Magnus,
618,Jordan of Saxony,80,Albertus Magnus,
80,Albertus Magnus,35,Aristotle,
80,Albertus Magnus,69,Avicenna,
80,Albertus Magnus,616,''Liber de causis'' (mostly Proclian),
80,Albertus Magnus,508,Pseudo-Dionysius,
35,Aristotle,82,Thomas Aquinas,
16,Socrates,82,Thomas Aquinas,
563,Averroes,82,Thomas Aquinas,
60,Augustine of Hippo,82,Thomas Aquinas,
62,Boethius,82,Thomas Aquinas,
621,Paul the Apostle,82,Thomas Aquinas,
622,Dionysius the Areopagite,82,Thomas Aquinas,
80,Albertus Magnus,82,Thomas Aquinas,
77,Maimonides,82,Thomas Aquinas,
30,Plato,82,Thomas Aquinas,
82,Thomas Aquinas,35,Aristotle,
82,Thomas Aquinas,16,Socrates,
82,Thomas Aquinas,563,Averroes,
82,Thomas Aquinas,60,Augustine of Hippo,
82,Thomas Aquinas,62,Boethius,
82,Thomas Aquinas,621,Paul the Apostle,
82,Thomas Aquinas,622,Dionysius the Areopagite,
82,Thomas Aquinas,80,Albertus Magnus,
82,Thomas Aquinas,77,Maimonides,
82,Thomas Aquinas,30,Plato,
631,Alexander of Hales,83,Bonaventure,
35,Aristotle,83,Bonaventure,
632,Augustinus,83,Bonaventure,
508,Pseudo-Dionysius,83,Bonaventure,
633,Anselm of Canterbury,83,Bonaventure,
617,Avicebron,83,Bonaventure,
634,Stoicism (through Cicero),83,Bonaventure,
83,Bonaventure,631,Alexander of Hales,
83,Bonaventure,35,Aristotle,
567,al-Farabi,85,Blessed Ramon Llull T.O.S.F.,
69,Avicenna,85,Blessed Ramon Llull T.O.S.F.,
636,Ibn Sab'in,85,Blessed Ramon Llull T.O.S.F.,
85,Blessed Ramon Llull T.O.S.F.,567,al-Farabi,
85,Blessed Ramon Llull T.O.S.F.,69,Avicenna,
85,Blessed Ramon Llull T.O.S.F.,636,Ibn Sab'in,
508,Pseudo-Dionysius,86,Eckhart von Hochheim,
504,Proclus,86,Eckhart von Hochheim,
82,Thomas Aquinas,86,Eckhart von Hochheim,
638,Johannes Scottus Eriugena,86,Eckhart von Hochheim,
60,Augustine of Hippo,86,Eckhart von Hochheim,
86,Eckhart von Hochheim,508,Pseudo-Dionysius,
86,Eckhart von Hochheim,504,Proclus,
86,Eckhart von Hochheim,82,Thomas Aquinas,
86,Eckhart von Hochheim,638,Johannes Scottus Eriugena,
86,Eckhart von Hochheim,60,Augustine of Hippo,
35,Aristotle,87,Blessed John Duns Scotus O.F.M.,
60,Augustine of Hippo,87,Blessed John Duns Scotus O.F.M.,
633,Anselm of Canterbury,87,Blessed John Duns Scotus O.F.M.,
82,Thomas Aquinas,87,Blessed John Duns Scotus O.F.M.,
645,Henry of Ghent,87,Blessed John Duns Scotus O.F.M.,
87,Blessed John Duns Scotus O.F.M.,35,Aristotle,
87,Blessed John Duns Scotus O.F.M.,60,Augustine of Hippo,
87,Blessed John Duns Scotus O.F.M.,633,Anselm of Canterbury,
87,Blessed John Duns Scotus O.F.M.,82,Thomas Aquinas,
87,Blessed John Duns Scotus O.F.M.,645,Henry of Ghent,
35,Aristotle,89,William of Ockham,
524,Aquinas,89,William of Ockham,
527,Duns Scotus,89,William of Ockham,
73,Peter Abelard,89,William of Ockham,
651,Petrus Aureolus,89,William of Ockham,
652,Durandus of Saint-Pourçain,89,William of Ockham,
89,William of Ockham,35,Aristotle,
89,William of Ockham,524,Aquinas,
89,William of Ockham,527,Duns Scotus,
35,Aristotle,91,Fr. Jean Buridan,
89,William of Ockham,91,Fr. Jean Buridan,
654,Thomas Bradwardine,91,Fr. Jean Buridan,
91,Fr. Jean Buridan,35,Aristotle,
91,Fr. Jean Buridan,89,William of Ockham,
91,Fr. Jean Buridan,654,Thomas Bradwardine,
81,Roger Bacon,92,John Wycliffe,
89,William of Ockham,92,John Wycliffe,
60,Augustine of Hippo,92,John Wycliffe,
79,Robert Grosseteste,92,John Wycliffe,
654,Thomas Bradwardine,92,John Wycliffe,
657,Richard Fitzralph,92,John Wycliffe,
92,John Wycliffe,81,Roger Bacon,
92,John Wycliffe,89,William of Ockham,
92,John Wycliffe,60,Augustine of Hippo,
35,Aristotle,93,Nicole Oresme,
89,William of Ockham,93,Nicole Oresme,
660,Jean Buridan,93,Nicole Oresme,
93,Nicole Oresme,35,Aristotle,
93,Nicole Oresme,89,William of Ockham,
30,Plato,95,Gemistus Pletho,
95,Gemistus Pletho,30,Plato,
80,Albertus Magnus,96,Nicholas of Cusa,
82,Thomas Aquinas,96,Nicholas of Cusa,
83,Bonaventure,96,Nicholas of Cusa,
30,Plato,96,Nicholas of Cusa,
35,Aristotle,96,Nicholas of Cusa,
413,Pythagoreanism,96,Nicholas of Cusa,
667,Meister Eckhart,96,Nicholas of Cusa,
508,Pseudo-Dionysius,96,Nicholas of Cusa,
504,Proclus,96,Nicholas of Cusa,
57,Plotinus,96,Nicholas of Cusa,
638,Johannes Scottus Eriugena,96,Nicholas of Cusa,
668,Ramon Llull,96,Nicholas of Cusa,
96,Nicholas of Cusa,80,Albertus Magnus,
96,Nicholas of Cusa,82,Thomas Aquinas,
96,Nicholas of Cusa,83,Bonaventure,
96,Nicholas of Cusa,30,Plato,
96,Nicholas of Cusa,35,Aristotle,
96,Nicholas of Cusa,413,Pythagoreanism,
96,Nicholas of Cusa,667,Meister Eckhart,
96,Nicholas of Cusa,508,Pseudo-Dionysius,
30,Plato,99,Pico della Mirandola,
98,Marsilio Ficino,99,Pico della Mirandola,
35,Aristotle,99,Pico della Mirandola,
508,Pseudo-Dionysius,99,Pico della Mirandola,
566,Neoplatonism,99,Pico della Mirandola,
96,Nicholas of Cusa,99,Pico della Mirandola,
672,Kabbalah,99,Pico della Mirandola,
99,Pico della Mirandola,30,Plato,
99,Pico della Mirandola,98,Marsilio Ficino,
99,Pico della Mirandola,35,Aristotle,
674,Epicureanism,101,Erasmus,
51,Cicero,101,Erasmus,
675,Giovanni Pico della Mirandola,101,Erasmus,
673,John Colet,101,Erasmus,
676,Alexander Hegius,101,Erasmus,
677,Jan Standonck,101,Erasmus,
101,Erasmus,674,Epicureanism,
101,Erasmus,51,Cicero,
101,Erasmus,675,Giovanni Pico della Mirandola,
101,Erasmus,673,John Colet,
101,Erasmus,676,Alexander Hegius,
101,Erasmus,677,Jan Standonck,
30,Plato,102,Niccolò Machiavelli,
35,Aristotle,102,Niccolò Machiavelli,
16,Socrates,102,Niccolò Machiavelli,
682,St. Augustine,102,Niccolò Machiavelli,
532,St. Thomas Aquinas,102,Niccolò Machiavelli,
538,Dante Alighieri,102,Niccolò Machiavelli,
683,Xenophon,102,Niccolò Machiavelli,
528,Plutarch,102,Niccolò Machiavelli,
684,Tacitus,102,Niccolò Machiavelli,
685,Polybius,102,Niccolò Machiavelli,
51,Cicero,102,Niccolò Machiavelli,
686,Sallust,102,Niccolò Machiavelli,
687,Livy,102,Niccolò Machiavelli,
688,Thucydides,102,Niccolò Machiavelli,
689,Cincinnatus,102,Niccolò Machiavelli,
102,Niccolò Machiavelli,30,Plato,
102,Niccolò Machiavelli,35,Aristotle,
102,Niccolò Machiavelli,16,Socrates,
102,Niccolò Machiavelli,682,St. Augustine,
102,Niccolò Machiavelli,532,St. Thomas Aquinas,
102,Niccolò Machiavelli,538,Dante Alighieri,
102,Niccolò Machiavelli,683,Xenophon,
102,Niccolò Machiavelli,528,Plutarch,
102,Niccolò Machiavelli,684,Tacitus,
102,Niccolò Machiavelli,685,Polybius,
102,Niccolò Machiavelli,51,Cicero,
102,Niccolò Machiavelli,686,Sallust,
102,Niccolò Machiavelli,687,Livy,
102,Niccolò Machiavelli,688,Thucydides,
102,Niccolò Machiavelli,689,Cincinnatus,
507,Augustine,106,John Calvin,
708,Luther,106,John Calvin,
106,John Calvin,507,Augustine,
106,John Calvin,708,Luther,
713,Horace,107,Michel de Montaigne,
7,Heraclitus,107,Michel de Montaigne,
56,Sextus Empiricus,107,Michel de Montaigne,
445,Seneca,107,Michel de Montaigne,
528,Plutarch,107,Michel de Montaigne,
714,Cato,107,Michel de Montaigne,
107,Michel de Montaigne,713,Horace,
107,Michel de Montaigne,7,Heraclitus,
107,Michel de Montaigne,56,Sextus Empiricus,
107,Michel de Montaigne,445,Seneca,
107,Michel de Montaigne,528,Plutarch,
107,Michel de Montaigne,714,Cato,
56,Sextus Empiricus,108,Pierre Charron,
107,Michel de Montaigne,108,Pierre Charron,
563,Averroes,109,Giordano Bruno,
722,Nicolaus Copernicus,109,Giordano Bruno,
723,Nicolaus Cusanus,109,Giordano Bruno,
109,Giordano Bruno,563,Averroes,
109,Giordano Bruno,722,Nicolaus Copernicus,
109,Giordano Bruno,723,Nicolaus Cusanus,
726,Alonso Rodriguez,110,Francisco Suárez,
82,Thomas Aquinas,110,Francisco Suárez,
527,Duns Scotus,110,Francisco Suárez,
727,medieval Scholasticism in general,110,Francisco Suárez,
35,Aristotle,110,Francisco Suárez,
69,Avicenna,110,Francisco Suárez,
110,Francisco Suárez,726,Alonso Rodriguez,
110,Francisco Suárez,82,Thomas Aquinas,
110,Francisco Suárez,527,Duns Scotus,
110,Francisco Suárez,727,medieval Scholasticism in general,
110,Francisco Suárez,35,Aristotle,
110,Francisco Suárez,69,Avicenna,
30,Plato,111,Francis Bacon,
35,Aristotle,111,Francis Bacon,
51,Cicero,111,Francis Bacon,
102,Niccolò Machiavelli,111,Francis Bacon,
107,Michel de Montaigne,111,Francis Bacon,
729,Vanoccio Biringuccio,111,Francis Bacon,
730,Bernard Palissy,111,Francis Bacon,
731,Bernardino Telesio,111,Francis Bacon,
732,William Gilbert,111,Francis Bacon,
81,Roger Bacon,111,Francis Bacon,
111,Francis Bacon,30,Plato,
111,Francis Bacon,35,Aristotle,
111,Francis Bacon,51,Cicero,
111,Francis Bacon,102,Niccolò Machiavelli,
111,Francis Bacon,107,Michel de Montaigne,
111,Francis Bacon,729,Vanoccio Biringuccio,
111,Francis Bacon,730,Bernard Palissy,
111,Francis Bacon,731,Bernardino Telesio,
737,Alberico Gentili,113,Hugo Grotius,
611,Bodin,113,Hugo Grotius,
738,Suárez,113,Hugo Grotius,
113,Hugo Grotius,737,Alberico Gentili,
113,Hugo Grotius,611,Bodin,
113,Hugo Grotius,738,Suárez,
747,Aristotelianism,117,Pierre Gassendi,
674,Epicureanism,117,Pierre Gassendi,
117,Pierre Gassendi,747,Aristotelianism,
117,Pierre Gassendi,674,Epicureanism,
30,Plato,118,René Descartes,
35,Aristotle,118,René Descartes,
750,Archimedes,118,René Descartes,
751,Alhazen,118,René Descartes,
72,Al-Ghazālī,118,René Descartes,
563,Averroes,118,René Descartes,
69,Avicenna,118,René Descartes,
71,Anselm,118,René Descartes,
507,Augustine,118,René Descartes,
752,Stoics,118,René Descartes,
524,Aquinas,118,René Descartes,
753,Ockham,118,René Descartes,
754,Suarez,118,René Descartes,
755,Mersenne,118,René Descartes,
56,Sextus Empiricus,118,René Descartes,
418,Montaigne,118,René Descartes,
756,Golius,118,René Descartes,
757,Beeckman,118,René Descartes,
758,Harvey,118,René Descartes,
759,Viète,118,René Descartes,
527,Duns Scotus,118,René Descartes,
760,Teresa of Ávila,118,René Descartes,
118,René Descartes,30,Plato,
118,René Descartes,35,Aristotle,
118,René Descartes,750,Archimedes,
118,René Descartes,751,Alhazen,
118,René Descartes,72,Al-Ghazālī,
118,René Descartes,563,Averroes,
118,René Descartes,69,Avicenna,
118,René Descartes,71,Anselm,
118,René Descartes,507,Augustine,
118,René Descartes,752,Stoics,
118,René Descartes,524,Aquinas,
118,René Descartes,753,Ockham,
118,René Descartes,754,Suarez,
118,René Descartes,755,Mersenne,
445,Seneca,119,Baltasar Gracián,
54,Epictetus,119,Baltasar Gracián,
528,Plutarch,119,Baltasar Gracián,
486,Publilius Syrus,119,Baltasar Gracián,
765,Desiderius Erasmus,119,Baltasar Gracián,
119,Baltasar Gracián,445,Seneca,
119,Baltasar Gracián,54,Epictetus,
35,Aristotle,120,Thomas Hobbes,
688,Thucydides,120,Thomas Hobbes,
684,Tacitus,120,Thomas Hobbes,
118,René Descartes,120,Thomas Hobbes,
766,Grotius,120,Thomas Hobbes,
102,Niccolò Machiavelli,120,Thomas Hobbes,
111,Francis Bacon,120,Thomas Hobbes,
120,Thomas Hobbes,35,Aristotle,
120,Thomas Hobbes,688,Thucydides,
769,St. Augustine of Hippo,125,Blaise Pascal,
107,Michel de Montaigne,125,Blaise Pascal,
118,René Descartes,125,Blaise Pascal,
770,Gilles de Roberval,125,Blaise Pascal,
771,Cornelius Jansen,125,Blaise Pascal,
54,Epictetus,125,Blaise Pascal,
772,Gerolamo Cardano,125,Blaise Pascal,
125,Blaise Pascal,769,St. Augustine of Hippo,
125,Blaise Pascal,107,Michel de Montaigne,
125,Blaise Pascal,118,René Descartes,
125,Blaise Pascal,770,Gilles de Roberval,
125,Blaise Pascal,771,Cornelius Jansen,
125,Blaise Pascal,54,Epictetus,
125,Blaise Pascal,772,Gerolamo Cardano,
112,Galileo Galilei,130,Robert William Boyle,
775,Otto von Guericke,130,Robert William Boyle,
111,Francis Bacon,130,Robert William Boyle,
776,Evangelista Torricelli,130,Robert William Boyle,
777,Samuel Hartlib,130,Robert William Boyle,
130,Robert William Boyle,112,Galileo Galilei,
495,Descartes,133,Baruch Spinoza,
752,Stoics,133,Baruch Spinoza,
77,Maimonides,133,Baruch Spinoza,
778,Abraham ibn Ezra,133,Baruch Spinoza,
69,Avicenna,133,Baruch Spinoza,
563,Averroes,133,Baruch Spinoza,
35,Aristotle,133,Baruch Spinoza,
21,Democritus,133,Baruch Spinoza,
415,Lucretius,133,Baruch Spinoza,
45,Epicurus,133,Baruch Spinoza,
779,Niccolo Machiavelli,133,Baruch Spinoza,
120,Thomas Hobbes,133,Baruch Spinoza,
109,Giordano Bruno,133,Baruch Spinoza,
780,Franciscus van den Enden,133,Baruch Spinoza,
781,Menasseh Ben Israel,133,Baruch Spinoza,
133,Baruch Spinoza,495,Descartes,
